1.21	1.20	1.20	0.79	0.94	0.77	1.04	1.61	0.78	1.66	
1.23	1.06	1.33	0.81	0.90	0.80	1.05	1.61	0.79	1.66	
1.22	1.19	1.19	0.77	0.93	0.78	1.04	1.62	0.80	1.65	
1.22	1.19	1.19	0.78	0.88	0.81	1.07	1.61	0.80	1.65	
1.21	1.21	1.19	0.97	0.93	0.80	1.60	1.64	0.79	1.65	
1.20	1.23	1.15	0.77	0.88	0.93	1.60	1.61	0.80	1.65	
1.20	1.23	2.49	0.79	0.89	0.75	1.60	1.62	0.78	1.66	
1.21	1.21	1.18	0.77	0.89	0.72	1.61	1.62	0.79	1.66	
1.20	1.23	1.20	0.78	0.87	0.75	1.60	1.60	0.80	1.65	
1.22	1.19	1.20	0.77	0.95	0.80	1.60	1.63	0.79	1.67	
1.20	1.26	1.14	0.77	0.90	0.73	1.02	1.61	0.80	1.64	
1.23	1.18	1.21	0.79	0.92	0.81	1.03	0.77	0.79	0.80	
1.19	2.50	2.48	0.77	0.91	0.83	1.60	0.78	1.02	0.64	
1.19	1.22	1.18	0.77	0.85	0.68	1.01	0.78	0.80	0.78	
1.21	1.19	1.20	0.80	0.93	0.72	1.06	0.77	1.66	0.79	
1.20	1.21	1.18	0.97	0.79	0.72	1.60	0.77	1.00	0.59	
1.21	1.19	1.20	0.79	0.79	0.70	1.02	0.78	0.80	0.77	
1.21	1.19	1.20	0.96	0.89	0.79	1.02	0.78	1.66	0.79	
1.20	1.21	1.19	0.96	0.88	0.79	1.03	1.62	0.83	1.61	
1.20	1.20	1.19	0.79	0.87	0.94	1.02	0.77	0.80	0.79	
1.20	1.18	1.21	0.79	0.87	0.94	1.02	0.78	0.79	0.78	
1.20	1.22	1.18	0.96	1.00	0.81	1.04	0.78	1.32	1.12	
1.22	1.18	1.21	0.94	1.01	0.96	1.01	0.78	1.32	1.12	
1.21	1.18	1.23	0.94	0.88	0.78	1.60	0.77	1.01	0.60	
1.21	1.21	1.17	0.97	0.71	0.93	1.02	0.78	0.79	0.78	
1.20	1.18	1.24	0.97	0.86	0.85	1.01	0.78	0.79	0.79	
1.20	1.20	1.21	0.95	0.77	0.76	1.01	1.62	0.81	1.64	
1.20	1.22	1.18	0.79	0.72	0.98	1.01	1.63	0.82	1.62	
1.21	1.18	1.21	0.95	0.71	0.86	1.02	0.79	0.79	0.78	
1.21	1.20	1.20	0.95	0.71	0.78	1.61	0.76	0.99	0.62	
1.19	2.49	2.48	0.78	1.01	0.80	1.01	0.76	0.98	0.63	
1.20	1.23	1.21	0.95	0.96	0.95	1.00	0.76	0.99	0.61	
1.20	1.21	1.19	0.77	1.02	0.76	1.00	0.77	1.00	0.60	
1.21	1.19	1.25	0.77	0.90	0.64	1.03	0.76	0.98	0.64	
1.20	1.19	1.20	0.77	0.90	0.77	1.01	0.77	0.99	0.62	
1.20	1.19	1.21	0.93	0.88	0.94	1.60	0.76	1.00	0.61	
1.21	1.22	1.21	0.77	0.97	0.81	1.01	0.76	1.63	0.82	
1.20	1.21	1.19	0.77	0.98	0.79	1.01	0.76	0.80	0.80	
1.21	1.18	1.23	0.92	0.97	0.80	1.60	0.77	1.67	0.79	
1.23	1.18	1.20	0.93	0.96	0.94	1.61	0.76	0.99	0.63	
1.22	1.18	1.20	0.98	0.96	0.80	1.03	0.77	0.99	0.62	
1.22	1.18	1.22	0.93	0.91	0.78	1.00	0.77	1.01	0.60	
1.20	1.24	1.17	0.77	1.02	0.79	0.98	0.76	0.98	0.64	
1.20	1.14	2.48	0.77	0.72	0.71	1.00	0.76	1.69	0.76	
1.22	1.19	1.22	0.77	0.91	0.80	1.60	0.76	1.68	0.77	
1.22	1.19	1.20	0.78	0.87	0.69	1.60	0.76	1.01	0.61	
1.19	1.20	1.19	0.78	0.79	0.72	1.01	0.76	0.98	0.64	
1.24	1.16	1.21	0.79	0.90	0.95	1.60	0.76	0.99	0.62	
1.20	1.21	1.18	0.94	0.89	0.91	1.60	0.76	1.00	0.62	
1.21	1.19	2.48	0.97	0.96	0.80	1.59	0.76	0.97	0.65	
1.20	1.26	1.20	0.98	0.88	0.96	1.00	0.76	0.99	0.62	
1.20	1.21	1.18	0.97	0.99	0.95	0.96	0.76	1.68	0.78	
1.20	1.21	1.18	0.77	0.89	0.76	1.00	0.75	0.79	0.82	
1.20	2.50	2.49	0.76	0.89	0.78	1.60	0.76	0.99	0.62	
1.20	1.21	1.17	0.77	0.75	0.77	1.02	0.77	1.01	0.60	
1.20	1.19	2.48	0.76	0.79	0.75	0.76	0.77	0.98	0.62	
1.20	1.24	1.14	0.97	0.88	0.74	1.00	0.76	1.01	0.60	
1.19	1.21	2.48	0.78	0.79	0.91	1.00	0.98	1.45	1.00	
1.19	1.21	1.18	0.87	0.89	0.86	0.96	1.60	0.82	1.61	
1.06	1.35	2.48	0.87	0.90	0.92	0.96	0.86	0.99	0.52	
1.21	0.88	1.52	0.87	0.75	0.71	0.89	0.90	0.88	0.59	
1.06	1.36	1.06	0.87	0.91	0.71	0.90	0.97	1.47	0.97	
0.92	0.90	1.49	0.87	0.76	0.98	0.89	1.61	0.83	1.61	
0.91	1.48	0.85	0.85	0.75	0.70	0.97	0.85	0.86	0.65	
1.11	1.22	2.49	0.92	0.89	0.72	0.94	1.62	0.83	1.62	
1.20	1.03	1.01	0.82	0.74	0.70	0.94	1.60	0.85	1.59	
1.21	1.21	2.50	0.82	0.90	0.85	1.04	1.62	0.84	1.60	
1.21	1.20	1.19	0.83	0.88	0.71	1.01	1.46	0.85	1.59	
1.22	2.49	0.83	0.83	0.95	0.70	0.84	1.60	0.85	1.00	
1.21	1.24	1.20	0.83	0.93	0.86	1.03	0.83	0.85	0.69	
1.21	1.19	1.20	0.69	0.71	0.69	0.83	1.63	0.81	1.02	
1.23	1.17	1.20	0.84	0.72	0.76	1.61	0.84	0.84	0.68	
1.21	1.20	0.81	0.70	0.72	0.68	0.84	0.85	1.58	0.86	
1.20	1.21	1.17	0.71	0.86	0.70	0.87	1.64	0.81	1.63	
