0.98	1.09	1.08	1.10	1.11	1.14	1.05	1.13	0.92	0.92	
0.95	1.14	1.07	1.02	1.14	1.08	1.06	1.11	0.92	0.92	
0.95	1.15	1.08	0.99	1.12	1.07	0.99	1.06	0.93	0.93	
0.94	1.14	1.08	1.00	1.04	1.08	0.98	0.97	0.91	0.92	
0.94	1.07	1.08	1.00	1.06	1.10	1.05	0.96	0.91	0.93	
0.93	1.14	1.10	1.02	1.05	1.10	1.06	0.97	0.91	0.93	
0.94	1.09	1.10	1.02	1.11	1.04	1.04	0.97	0.91	0.93	
0.93	1.10	1.11	1.03	1.06	1.09	1.05	0.97	0.92	0.88	
0.94	1.09	1.15	1.00	1.06	1.08	0.98	0.98	0.91	0.92	
0.93	1.15	1.06	1.06	1.05	1.08	0.98	1.14	0.92	0.90	
0.96	1.03	1.07	1.06	1.04	1.06	0.97	1.11	0.93	0.89	
0.99	0.97	1.10	1.05	1.12	1.05	1.12	1.13	0.95	1.09	
1.15	1.09	1.03	1.04	1.08	1.09	0.99	1.08	0.94	0.96	
1.11	1.05	1.04	1.04	0.95	0.88	1.00	1.10	0.95	0.95	
1.12	1.13	1.12	1.03	0.97	0.95	0.98	1.06	0.95	0.95	
0.96	1.11	1.07	1.00	1.07	0.96	1.06	1.08	0.91	0.89	
0.95	1.05	1.10	1.02	1.10	1.06	0.97	1.16	0.91	0.91	
0.93	1.13	1.07	0.94	1.07	1.10	1.05	1.58	0.93	0.93	
0.91	1.09	1.06	0.97	1.07	1.07	1.00	1.21	0.90	0.99	
0.93	1.06	1.13	1.00	0.94	1.06	0.97	0.95	0.92	0.90	
0.92	0.99	1.13	0.99	0.99	1.04	1.03	1.06	0.93	0.88	
0.92	1.08	4.50	1.09	1.06	1.07	0.97	1.56	0.89	0.89	
0.91	1.13	0.94	1.08	1.08	1.06	0.97	1.10	0.91	0.89	
0.93	1.07	1.07	0.91	0.94	1.08	0.96	1.05	0.91	1.10	
0.93	0.96	0.95	0.93	1.08	0.97	0.94	1.08	0.88	0.89	
0.94	1.01	1.12	0.98	1.09	1.03	1.03	1.56	0.89	0.90	
0.95	1.10	1.09	1.02	1.08	1.06	1.06	1.07	0.89	0.91	
0.95	1.08	1.09	0.97	1.05	1.01	1.08	1.58	0.92	0.91	
0.96	1.11	1.08	0.91	1.03	0.94	0.98	0.95	0.97	0.92	
0.97	1.09	1.10	1.02	0.95	0.90	0.98	0.96	0.93	0.91	
0.98	1.08	1.07	0.93	1.06	1.05	1.05	0.95	0.98	0.89	
0.97	0.97	1.09	0.97	0.93	0.96	0.98	1.07	0.97	0.91	
0.93	1.10	1.09	0.98	0.92	0.95	1.07	1.08	0.92	0.90	
0.92	1.10	1.10	0.99	0.94	0.96	0.96	1.05	0.95	0.90	
0.91	1.05	1.08	1.03	0.94	0.98	1.05	0.94	1.02	0.93	
0.91	1.12	1.08	0.97	0.92	1.09	1.06	1.06	0.92	0.91	
0.92	1.04	1.07	0.98	0.93	0.95	1.04	0.94	0.92	0.90	
0.91	1.08	1.06	1.02	0.93	0.96	1.04	0.92	0.90	1.07	
0.91	1.09	1.07	0.97	0.94	0.95	1.03	0.93	0.89	1.06	
0.90	0.98	1.09	0.97	0.95	0.95	1.03	1.10	0.89	0.91	
0.91	1.09	1.07	0.97	0.94	1.02	1.04	1.08	0.88	1.06	
0.90	1.11	1.06	0.96	0.95	1.04	0.96	0.92	0.89	1.04	
0.91	0.96	1.07	0.96	0.94	0.94	1.04	1.58	0.83	0.92	
0.91	1.07	1.04	0.97	1.07	0.97	0.99	0.94	0.89	1.06	
0.92	1.09	1.04	1.00	1.08	1.08	1.05	1.57	0.88	0.95	
0.90	0.94	1.05	0.97	0.92	0.95	1.03	1.58	0.88	0.93	
0.92	0.94	1.07	0.96	0.95	1.07	1.03	1.58	0.87	0.91	
0.91	0.95	1.07	0.98	0.96	1.07	1.03	0.92	0.89	0.88	
0.92	0.94	1.07	0.92	0.93	1.12	1.05	0.91	0.88	0.94	
0.91	0.94	1.06	1.02	0.94	1.09	1.00	0.93	0.89	1.06	
0.90	0.95	1.06	1.00	0.94	1.08	1.03	0.91	0.89	0.90	
0.91	1.06	1.08	0.96	0.94	1.09	1.05	0.92	0.88	1.05	
0.90	1.04	1.07	1.04	0.94	1.10	1.02	0.91	0.88	1.04	
0.90	1.04	1.08	0.98	0.94	1.06	1.03	0.91	0.89	0.89	
0.92	0.97	1.08	1.00	1.05	0.93	1.03	0.92	0.88	0.89	
0.91	0.95	1.07	0.93	0.94	1.04	1.03	0.92	0.89	0.89	
0.90	1.07	1.06	0.97	1.06	0.94	1.03	0.93	0.88	0.91	
0.90	1.10	1.06	0.98	0.94	1.07	1.02	0.94	0.89	0.92	
0.91	1.10	1.06	1.05	0.93	1.09	0.97	1.05	0.89	0.92	
0.91	1.10	1.07	1.05	1.05	0.95	0.99	1.07	0.90	1.08	
0.91	1.07	1.05	1.04	1.04	0.96	1.01	0.93	1.03	1.04	
0.91	1.07	1.04	1.03	1.05	1.05	0.98	0.96	1.03	1.06	
0.91	1.08	1.06	1.02	1.06	1.12	0.97	1.07	1.05	0.89	
0.91	1.04	1.08	0.96	1.05	1.08	0.98	1.06	1.01	0.87	
0.92	1.04	1.09	0.93	1.06	0.94	1.03	1.05	0.94	0.89	
0.93	1.09	1.06	1.06	0.94	1.05	1.04	1.07	0.90	0.89	
0.97	1.07	1.06	0.98	1.10	1.07	1.05	0.93	0.91	0.90	
0.96	1.06	1.06	0.93	1.07	1.05	1.07	1.10	1.06	0.92	
0.98	1.10	1.06	1.02	1.07	1.06	1.09	1.07	0.96	0.96	
1.00	1.10	1.07	0.94	0.97	0.96	1.08	1.09	0.99	1.00	
1.03	1.09	1.12	0.99	0.92	0.97	1.10	1.08	1.00	1.01	
1.03	1.15	1.12	1.08	0.94	0.92	1.08	1.04	0.99	1.09	
0.96	1.09	1.08	1.00	0.93	0.94	1.04	1.13	1.03	0.95	
0.89	1.52	1.05	0.97	1.05	0.98	1.08	1.15	0.89	1.03	
0.87	1.10	1.30	0.95	1.00	0.98	0.99	1.01	1.00	0.89	
0.86	4.50	1.04	0.97	0.84	0.98	0.99	1.02	0.88	0.90	
0.87	0.89	4.50	0.96	0.94	0.97	1.04	1.02	0.89	0.89	
0.88	4.50	0.93	0.98	1.05	0.85	1.05	1.06	0.90	0.89	
0.94	0.98	1.06	0.94	0.91	1.03	1.12	1.06	0.92	0.89	
0.94	1.26	1.23	1.01	0.92	0.85	0.97	1.08	0.90	0.88	
0.96	1.10	1.16	0.90	0.94	1.05	1.56	1.08	0.90	0.87	
0.92	1.13	1.15	0.90	1.06	0.86	1.12	1.06	0.89	0.86	
0.93	1.38	1.18	0.91	1.06	1.04	1.11	1.03	0.90	0.87	
0.91	1.10	1.18	1.06	1.03	1.05	1.05	1.05	0.91	0.87	
0.95	1.06	1.11	1.02	1.06	0.90	0.96	0.96	0.93	0.89	
0.95	1.11	1.11	1.03	1.07	0.84	0.99	1.09	0.92	0.94	
0.97	1.06	1.29	1.02	1.09	0.99	1.07	1.06	0.90	0.92	
1.15	1.06	1.05	1.05	0.94	0.84	1.55	1.08	0.89	1.06	
0.93	0.91	1.04	1.04	0.91	0.84	1.04	0.90	0.87	0.96	
0.91	0.90	1.04	0.92	0.92	0.84	0.96	0.91	0.87	1.09	
0.90	0.91	1.05	0.95	0.93	0.87	1.04	1.04	0.88	0.87	
0.97	1.11	1.22	1.06	0.92	1.10	0.95	1.02	0.89	1.08	
1.06	1.07	0.96	1.00	0.92	0.90	0.98	1.04	0.88	0.92	
0.96	1.06	1.24	0.97	0.92	0.84	1.08	1.05	0.87	0.89	
0.95	1.05	1.12	0.99	0.94	0.86	1.06	0.93	0.87	0.99	
1.07	1.06	1.22	0.99	0.94	0.92	0.98	0.92	0.87	0.88	
0.92	1.07	0.98	1.07	0.92	1.05	0.97	0.93	0.86	0.92	
0.91	1.09	1.09	0.94	0.95	0.86	0.99	1.05	0.87	0.89	
0.90	1.22	1.07	0.99	0.94	0.86	0.98	1.04	0.87	1.05	
0.90	1.11	1.06	1.03	0.91	1.08	1.05	1.03	0.87	1.01	
0.92	1.21	1.04	1.03	0.94	0.87	1.04	1.03	0.87	0.88	
0.91	1.18	1.05	0.90	0.94	0.84	1.03	0.93	0.86	0.87	
0.90	1.20	1.06	0.99	0.96	0.85	1.03	0.93	0.86	0.88	
0.90	1.25	1.06	0.99	0.94	0.85	1.04	0.92	0.87	0.89	
0.91	1.00	1.05	0.98	0.93	0.87	0.98	1.04	0.87	0.89	
0.92	1.25	1.05	0.98	0.92	0.97	0.95	1.03	0.87	0.88	
0.90	1.21	1.05	0.96	0.93	0.85	1.03	0.93	0.86	0.88	
0.90	1.20	1.05	1.00	1.08	0.93	1.03	0.93	0.87	0.90	
0.90	1.42	1.06	0.98	1.08	1.07	1.04	0.92	0.87	0.93	
0.90	1.11	1.07	0.98	0.95	0.92	0.97	1.04	0.87	0.91	
0.90	1.12	1.08	1.02	0.94	1.08	0.95	1.05	0.86	0.88	
0.90	1.08	1.07	0.99	0.93	1.08	0.96	1.05	0.87	0.91	
0.90	1.12	1.07	0.98	0.93	0.89	1.07	1.06	0.88	1.08	
0.90	0.96	1.05	0.99	0.94	1.05	1.07	1.14	0.88	0.93	
0.91	1.10	2.41	1.00	0.95	0.90	0.96	1.04	0.89	0.90	
0.91	1.07	1.22	1.00	1.05	0.90	0.98	1.08	0.89	0.95	
0.91	1.12	1.16	1.00	1.06	0.88	0.97	1.10	0.89	0.91	
0.91	1.12	1.18	1.03	1.08	1.09	0.96	1.57	0.89	1.06	
0.91	2.42	1.11	1.04	0.95	1.04	1.13	1.04	1.04	0.89	
0.95	0.95	1.23	1.01	0.94	1.07	0.97	1.08	0.91	0.90	
0.96	1.07	1.22	1.01	0.95	1.04	1.07	1.09	0.91	1.08	
0.98	1.15	1.02	1.04	1.08	1.04	1.08	1.18	0.94	0.94	
0.96	1.07	1.10	1.04	0.87	1.09	0.96	1.06	0.99	0.93	
0.96	1.10	1.07	0.90	1.11	1.08	1.05	1.05	0.94	0.95	
1.06	1.16	1.08	0.98	1.08	1.05	1.07	1.06	0.96	0.97	
0.97	2.45	1.08	1.08	1.07	0.92	0.98	1.08	0.95	0.98	
0.98	1.15	1.09	1.07	1.09	1.08	1.05	1.20	0.96	0.97	
0.97	1.34	1.09	1.07	0.95	1.06	0.90	0.89	0.91	1.44	
0.97	0.98	1.08	1.04	0.95	1.02	0.92	0.92	0.95	1.07	
0.96	1.20	1.10	1.02	1.08	0.99	0.99	1.12	0.94	0.94	
0.97	1.00	1.32	0.89	1.08	0.92	1.06	0.98	1.03	1.07	
1.11	0.97	1.11	0.89	1.07	0.98	0.97	1.56	0.95	1.10	
0.96	1.05	1.26	0.90	1.06	0.94	0.97	1.09	0.95	1.09	
0.97	0.99	1.35	0.98	1.06	1.09	0.97	1.07	1.04	0.91	
0.98	1.06	1.09	1.08	1.06	0.95	0.97	1.14	0.93	0.92	
1.03	1.13	1.06	1.06	1.08	0.96	0.98	1.12	0.93	1.08	
0.98	0.98	1.03	1.03	1.06	0.94	0.97	1.04	0.93	0.91	
1.08	1.01	1.08	0.88	1.12	0.94	1.06	0.97	0.91	1.42	
0.99	1.00	1.07	0.89	1.12	0.94	1.00	1.05	1.06	0.92	
0.96	1.09	1.06	1.01	1.10	0.95	0.99	1.05	1.04	0.92	
0.95	1.05	1.07	0.90	1.52	0.99	1.09	1.04	0.93	0.93	
1.08	1.07	1.22	1.01	1.38	0.96	0.96	1.03	0.92	0.93	
1.00	1.05	1.06	1.04	1.13	0.95	0.95	1.04	0.94	0.94	
0.97	1.03	1.11	1.06	1.07	0.96	1.05	1.03	0.93	0.95	
1.03	1.10	1.10	1.00	1.06	0.97	0.97	1.05	0.97	0.93	
1.00	1.05	1.09	1.11	1.07	0.96	1.07	1.04	0.97	0.94	
